quote,author,type
It is not sufficient to see and to know the beauty of a work. We must feel and be affected by it.,Voltaire,beauty
"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.",Marie Curie,life
"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",Buddha,life
"Life's most persistent and urgent question is, 'What are you doing for others?'","Martin Luther King, Jr.",life
"We do not remember days, we remember moments.",Cesare Pavese,life
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,life
"The truth is you don't know what is going to happen tomorrow. Life is a crazy ride, and nothing is guaranteed.",Eminem,life
Life is what happens while you are busy making other plans.,John Lennon,life
Into each life some rain must fall.,Henry Wadsworth Longfellow,life
The true secret of happiness lies in taking a genuine interest in all the details of daily life.,William Morris,life
Life is a song - sing it. Life is a game - play it. Life is a challenge - meet it. Life is a dream - realize it. Life is a sacrifice - offer it. Life is love - enjoy it.,Sai Baba,life
"We must be willing to let go of the life we have planned, so as to have the life that is waiting for us.",E. M. Forster,life
"Life is really simple, but we insist on making it complicated.",Confucius,life
"Don't go through life, grow through life.",Eric Butterworth,life
"Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor.",Sholom Aleichem,life
"Not life, but good life, is to be chiefly valued.",Socrates,life
"Open your eyes, look within. Are you satisfied with the life you're living?",Bob Marley,life
He who has a why to live can bear almost any how.,Friedrich Nietzsche,life
"I slept and dreamt that life was joy. I awoke and saw that life was service. I acted and behold, service was joy.",Rabindranath Tagore,life
"When I stand before God at the end of my life, I would hope that I would not have a single bit of talent left, and could say, 'I used everything you gave me'.",Erma Bombeck,life
"Our prime purpose in this life is to help others. And if you can't help them, at least don't hurt them.",Dalai Lama,life
Every man dies. Not every man really lives.,William Wallace,life
Life is too short for long-term grudges.,Elon Musk,life
"I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived.",Henry David Thoreau,life
Life is a series of natural and spontaneous changes. Don't resist them - that only creates sorrow. Let reality be reality. Let things flow naturally forward in whatever way they like.,Lao Tzu,life
Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself.,Harvey Fierstein,life
A life is not important except in the impact it has on other lives.,Jackie Robinson,life
A man who dares to waste one hour of time has not discovered the value of life.,Charles Darwin,life
"There are three constants in life... change, choice and principles.",Stephen Covey,life
"How far you go in life depends on your being tender with the young, compassionate with the aged, sympathetic with the striving and tolerant of the weak and strong. Because someday in your life you will have been all of these.",George Washington Carver,life
"Throughout life people will make you mad, disrespect you and treat you bad. Let God deal with the things they do, cause hate in your heart will consume you too.",Will Smith,life
Life is a mirror and will reflect back to the thinker what he thinks into it.,Ernest Holmes,life
The purpose of life is a life of purpose.,Robert Byrne,life
Nobody made a greater mistake than he who did nothing because he could do only a little.,Edmund Burke,life
Growth is the only evidence of life.,John Henry Newman,life
"If life were predictable it would cease to be life, and be without flavor.",Eleanor Roosevelt,life
"If you love life, don't waste time, for time is what life is made up of.",Bruce Lee,life
All life is an experiment. The more experiments you make the better.,Ralph Waldo Emerson,life
"If you live long enough, you'll make mistakes. But if you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.",William J. Clinton,life
"You're only here for a short visit. Don't hurry, don't worry. And be sure to smell the flowers along the way.",Walter Hagen,life
"I have found that if you love life, life will love you back.",Arthur Rubinstein,life
The most important thing is to enjoy your life - to be happy - it's all that matters.,Audrey Hepburn,life
"Life is short and we have never too much time for gladdening the hearts of those who are travelling the dark journey with us. Oh be swift to love, make haste to be kind.",Henri Frederic Amiel,life
Life is ten percent what happens to you and ninety percent how you respond to it.,Lou Holtz,life
"What do we live for, if not to make life less difficult for each other?",George Eliot,life
We live in a rainbow of chaos.,Paul Cezanne,life
The only disability in life is a bad attitude.,Scott Hamilton,life
All the art of living lies in a fine mingling of letting go and holding on.,Havelock Ellis,life
Find ecstasy in life; the mere sense of living is joy enough.,Emily Dickinson,life
"As a well-spent day brings happy sleep, so a life well spent brings happy death.",Leonardo da Vinci,life
We pass through this world but once.,Stephen Jay Gould,life
"Make space in your life for the things that matter, for family and friends, love and generosity, fun and joy. Without this, you will burn out in mid-career and wonder where your life went.",Jonathan Sacks,life
"Life is a tragedy when seen in close-up, but a comedy in long-shot.",Charlie Chaplin,life
The shoe that fits one person pinches another; there is no recipe for living that suits all cases.,Carl Jung,life
It's all about quality of life and finding a happy balance between work and friends and family.,Philip Green,life
Life is never easy for those who dream.,Robert James Waller,life
Life consists not in holding good cards but in playing those you hold well.,Josh Billings,life
Surprise is the greatest gift which life can grant us.,Boris Pasternak,life
Life itself is the most wonderful fairy tale.,Hans Christian Andersen,life
"Life is what we make it, always has been, always will be.",Grandma Moses,life
All of life is peaks and valleys. Don't let the peaks get too high and the valleys too low.,John Wooden,life
I restore myself when I'm alone.,Marilyn Monroe,alone
Alone we can do so little; together we can do so much.,Helen Keller,alone
The time you feel lonely is the time you most need to be by yourself.,Douglas Coupland,alone
The strongest man in the world is he who stands most alone.,Henrik Ibsen,alone
Loneliness adds beauty to life. It puts a special burn on sunsets and makes night air smell better.,Henry Rollins,alone
"It is far better to be alone, than to be in bad company.",George Washington,alone
"If you are lonely when you're alone, you are in bad company.",Jean-Paul Sartre,alone
Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.,A. P. J. Abdul Kalam,alone
Solitude vivifies; isolation kills.,Joseph Roux,alone
To live alone is the fate of all great souls.,Arthur Schopenhauer,alone
"Let your mind alone, and see what happens.",Virgil Thomson,alone
All men's miseries derive from not being able to sit in a quiet room alone.,Blaise Pascal,alone
Loneliness is my least favorite thing about life. The thing that I'm most worried about is just being alone without anybody to care for or someone who will care for me.,Anne Hathaway,alone
You only grow when you are alone.,Paul Newman,alone
Loneliness is the poverty of self; solitude is the richness of self.,May Sarton,alone
"When the people you love are gone, you're alone.",Keanu Reeves,alone
Every man is born as many men and dies as a single one.,Martin Heidegger,alone
Solitude is independence.,Hermann Hesse,alone
If you make friends with yourself you will never be alone.,Maxwell Maltz,alone
As I get older I'm more and more comfortable being alone.,Sienna Miller,alone
You cannot be lonely if you like the person you're alone with.,Wayne Dyer,alone
"Pray that your loneliness may spur you into finding something to live for, great enough to die for.",Dag Hammarskjold,alone
You come into the world alone and you go out of the world alone yet it seems to me you are more alone while living than even going and coming.,Emily Carr,alone
"We are all sentenced to solitary confinement inside our own skins, for life.",Tennessee Williams,alone
"I never said, 'I want to be alone.' I only said, 'I want to be left alone.' There is all the difference.",Greta Garbo,alone
To be adult is to be alone.,Jean Rostand,alone
In solitude the mind gains strength and learns to lean upon itself.,Laurence Sterne,alone
Life could be wonderful if people would leave you alone.,Charlie Chaplin,alone
The best part about being alone is that you really don't have to answer to anybody. You do what you want.,Justin Timberlake,alone
I only go out to get me a fresh appetite for being alone.,Lord Byron,alone
Nothing makes us so lonely as our secrets.,Paul Tournier,alone
When everything is lonely I can be my best friend.,Conor Oberst,alone
I have so many different personalities in me and I still feel lonely.,Tori Amos,alone
I would rather be a beggar and single than a queen and married.,Elizabeth I,alone
A man is born alone and dies alone; and he experiences the good and bad consequences of his karma alone; and he goes alone to hell or the Supreme abode.,Chanakya,alone
"Moon! Moon! I am prone before you. Pity me, and drench me in loneliness.",Amy Lowell,alone
Inside myself is a place where I live all alone and that is where I renew my springs that never dry up.,Pearl S. Buck,alone
It is strange to be known so universally and yet to be so lonely.,Albert Einstein,alone
Only the lonely know the way I feel tonight.,Roy Orbison,alone
"I'm fascinated with myself and love hearing the sound of my own voice. I'd like to hear what I have to say. A lot of people don't like being alone because they truly don't like themselves, but I love me.",Gene Simmons,alone
I was never less alone than when by myself.,Edward Gibbon,alone
Who knows what true loneliness is - not the conventional word but the naked terror? To the lonely themselves it wears a mask. The most miserable outcast hugs some memory or some illusion.,Joseph Conrad,alone
"There's a tremendous difference between alone and lonely. You could be lonely in a group of people. I like being alone. I like eating by myself. I go home at night and just watch a movie or hang out with my dog. I have to exert myself and really say, oh God, I've got to see my friends 'cause I'm too content being by myself.",Drew Barrymore,alone
The lonely become either thoughtful or empty.,Mason Cooley,alone
What a lovely surprise to finally discover how unlonely being alone can be.,Ellen Burstyn,alone
Remember we're all in this alone.,Lily Tomlin,alone
To go out with the setting sun on an empty beach is to truly embrace your solitude.,Jeanne Moreau,alone
All of our unhappiness comes from our inability to be alone.,Jean de la Bruyere,alone
"I like my life alone. I mean, I love being with friends, and I love kissing and loving someone to pieces. But it's hard to find someone who doesn't ultimately start judging you and your choices.",Sarah Silverman,alone
The only real progress lies in learning to be wrong all alone.,Albert Camus,alone
"Your actions, and your action alone, determines your worth.",Evelyn Waugh,alone
"I've also seen that great men are often lonely. This is understandable, because they have built such high standards for themselves that they often feel alone. But that same loneliness is part of their ability to create.",Yousuf Karsh,alone
Don't go away. I don't want to be alone. I can't stand being alone.,Arnold Rothstein,alone
"Still and all, why bother? Here's my answer. Many people need desperately to receive this message: I feel and think much as you do, care about many of the things you care about, although most people do not care about them. You are not alone.",Kurt Vonnegut,alone
"It's an interesting combination: Having a great fear of being alone, and having a desperate need for solitude and the solitary experience. That's always been a tug of war for me.",Jodie Foster,alone
I finally faced the fact that it isn't a crime not having friends. Being alone means you have fewer problems.,Whitney Houston,alone
"I may climb perhaps to no great heights, but I will climb alone.",Cyrano de Bergerac,alone
"If it's true that our species is alone in the universe, then I'd have to say the universe aimed rather low and settled for very little.",George Carlin,alone
The eternal quest of the individual human being is to shatter his loneliness.,Norman Cousins,alone
Solitude is the profoundest fact of the human condition. Man is the only being who knows he is alone.,Octavio Paz,alone
"Once you replace negative thoughts with positive ones, you'll start having positive results.",Willie Nelson,positive
The most important thing is to try and inspire people so that they can be great in whatever they want to do.,Kobe Bryant,positive
"Yesterday is not ours to recover, but tomorrow is ours to win or lose.",Lyndon B. Johnson,positive
"Live life to the fullest, and focus on the positive.",Matt Cameron,positive
Every day brings new choices.,Martha Beck,positive
"Work hard for what you want because it won't come to you without a fight. You have to be strong and courageous and know that you can do anything you put your mind to. If somebody puts you down or criticizes you, just keep on believing in yourself and turn it into something positive.",Leah LaBelle,positive
"It's your outlook on life that counts. If you take yourself lightly and don't take yourself too seriously, pretty soon you can find the humor in our everyday lives. And sometimes it can be a lifesaver.",Betty White,positive
"A strong, positive self-image is the best possible preparation for success.",Joyce Brothers,positive
Keep your face to the sunshine and you cannot see a shadow.,Helen Keller,positive
"I truly believe that everything that we do and everyone that we meet is put in our path for a purpose. There are no accidents; we're all teachers - if we're willing to pay attention to the lessons we learn, trust our positive instincts and not be afraid to take risks or wait for some miracle to come knocking at our door.",Marla Gibbs,positive
I think anything is possible if you have the mindset and the will and desire to do it and put the time in.,Roger Clemens,positive
It's a wonderful thing to be optimistic. It keeps you healthy and it keeps you resilient.,Daniel Kahneman,positive
Delete the negative; accentuate the positive!,Donna Karan,positive
"Find a place inside where there's joy, and the joy will burn out the pain.",Joseph Campbell,positive
I often think that the night is more alive and more richly colored than the day.,Vincent Van Gogh,positive
"No matter what you're going through, there's a light at the end of the tunnel and it may seem hard to get to it but you can do it and just keep working towards it and you'll find the positive side of things.",Demi Lovato,positive
"Trust in dreams, for in them is hidden the gate to eternity.",Khalil Gibran,positive
"Always Do Your Best. Your best is going to change from moment to moment; it will be different when you are healthy as opposed to sick. Under any circumstance, simply do your best, and you will avoid self-judgment, self-abuse and regret.",Don Miguel Ruiz,positive
"You are the sum total of everything you've ever seen, heard, eaten, smelled, been told, forgot - it's all there. Everything influences each of us, and because of that I try to make sure that my experiences are positive.",Maya Angelou,positive
Few things in the world are more powerful than a positive push. A smile. A world of optimism and hope. A 'you can do it' when things are tough.,Richard M. DeVos,positive
"People deal too much with the negative, with what is wrong. Why not try and see positive things, to just touch those things and make them bloom?",Thich Nhat Hanh,positive
You cannot have a positive life and a negative mind.,Joyce Meyer,positive
Positive thinking will let you do everything better than negative thinking will.,Zig Ziglar,positive
"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.",Henri Nouwen,positive
"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you.",Tony Dorsett,positive
In order to carry a positive action we must develop here a positive vision.,Dalai Lama,positive
Perpetual optimism is a force multiplier.,Colin Powell,positive
"The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun.",Christopher McCandless,positive
Positive anything is better than negative nothing.,Elbert Hubbard,positive
"Work hard, stay positive, and get up early. It's the best part of the day.","George Allen, Sr.",positive
"If you have a positive attitude and constantly strive to give your best effort, eventually you will overcome your immediate problems and find you are ready for greater challenges.",Pat Riley,positive
"Your attitude is like a box of crayons that color your world. Constantly color your picture gray, and your picture will always be bleak. Try adding some bright colors to the picture by including humor, and your picture begins to lighten up.",Allen Klein,positive
"You've done it before and you can do it now. See the positive possibilities. Redirect the substantial energy of your frustration and turn it into positive, effective, unstoppable determination.",Ralph Marston,positive
"When you wake up every day, you have two choices. You can either be positive or negative; an optimist or a pessimist. I choose to be an optimist. It's all a matter of perspective.",Harvey Mackay,positive
Believe that life is worth living and your belief will help create the fact.,William James,positive
"If you're not making mistakes, then you're not doing anything. I'm positive that a doer makes mistakes.",John Wooden,positive
A good laugh is sunshine in the house.,William Makepeace Thackeray,positive
